ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
0,hfc,64,64,0.02,-50,1.35,,0.8472,0.9290,0.9059,0.9173,,0.8819,0.9453,0.9255,0.9352,,0.8762,0.9457,0.9175,0.9305,,0.7783,0.9360,0.8220,,0.7972,0.8833,0.8911,,0.9678,0.9678,1.0000,,2.35,4.62,6.80,0.9543,,,,,,,,,./results/res_hfc_64_64_-50.0_1.35_0.02.log
1,hfc,64,64,0.02,-50,1.2,,0.8371,0.8983,0.9247,0.9113,,0.8711,0.9192,0.9397,0.9293,,0.8735,0.9230,0.9370,0.9293,,0.8078,0.9122,0.8759,,0.7662,0.8413,0.8956,,0.9435,0.9435,1.0000,,2.48,4.73,6.96,0.9536,,,,,,,,,./results/res_hfc_64_64_-50.0_1.2_0.02.log
2,hfc,64,64,0.02,-48,1.3,,0.8404,0.9271,0.8998,0.9133,,0.8742,0.9440,0.9183,0.9310,,0.8704,0.9460,0.9109,0.9268,,0.7644,0.9373,0.8056,,0.7937,0.8811,0.8889,,0.9637,0.9637,1.0000,,2.40,4.64,6.86,0.9540,,,,,,,,,./results/res_hfc_64_64_-48.0_1.3_0.02.log
3,hfc,64,64,0.02,-52,1.35,,0.8492,0.9212,0.9157,0.9184,,0.8857,0.9399,0.9346,0.9373,,0.8805,0.9401,0.9271,0.9330,,0.8009,0.9354,0.8478,,0.7856,0.8648,0.8956,,0.9657,0.9657,1.0000,,2.33,4.61,6.80,0.9548,4.5861,1.0606,0.9782,0.9237,2.3723,6.6146,0.9639,,./results/res_hfc_64_64_-52_1.35_0.02.log
4,hfc,64,64,0.02,-55,1.35,,0.8450,0.9126,0.9194,0.9160,,0.8831,0.9340,0.9373,0.9357,,0.8774,0.9338,0.9293,0.9311,,0.8079,0.9337,0.8571,,0.7754,0.8505,0.8978,,0.9575,0.9575,1.0000,,2.33,4.61,6.80,0.9550,,,,,,,,,./results/res_hfc_64_64_-55.0_1.35_0.02.log
5,hfc,64,64,0.02,-52,1.3,,0.8491,0.9129,0.9239,0.9184,,0.8852,0.9329,0.9412,0.9370,,0.8798,0.9341,0.9327,0.9327,,0.8198,0.9302,0.8735,,0.7765,0.8538,0.8956,,0.9575,0.9575,1.0000,,2.35,4.63,6.79,0.9544,,,,,,,,,./results/res_hfc_64_64_-52.0_1.3_0.02.log
6,hfc,64,64,0.02,-52,1.33,,0.8515,0.9201,0.9194,0.9198,,0.8874,0.9393,0.9373,0.9383,,0.8818,0.9396,0.9293,0.9338,,0.8102,0.9338,0.8595,0.8951,0.7840,0.8630,0.8956,0.8790,0.9657,0.9657,1.0000,0.9826,2.35,4.62,6.77,0.9533,4.5967,1.0720,0.9599,0.9125,2.3636,6.6515,0.9669,,./results/res_hfc_64_64_-52_1.33_0.02.log
7,hfc,64,64,0.02,-52,1.31,,0.8515,0.9157,0.9239,0.9198,,0.8875,0.9355,0.9412,0.9384,,0.8818,0.9364,0.9327,0.9339,,0.8198,0.9302,0.8735,0.9010,0.7810,0.8593,0.8956,0.8770,0.9596,0.9596,1.0000,0.9794,2.35,4.63,6.78,0.9544,4.6024,1.0629,0.9515,0.9091,2.3880,6.6395,0.9645,,./results/res_hfc_64_64_-52_1.31_0.02.log
8,hfc,64,64,0.02,-51,1.31,,0.8510,0.9188,0.9202,0.9195,,0.8878,0.9383,0.9385,0.9384,,0.8809,0.9387,0.9290,0.9330,,0.8106,0.9316,0.8618,0.8954,0.7856,0.8648,0.8956,0.8799,0.9616,0.9616,1.0000,0.9804,2.35,4.63,6.78,0.9542,4.6075,1.0606,0.9510,0.9070,2.3973,6.6397,0.9644,,./results/res_hfc_64_64_-51_1.31_0.02.log
9,hfc,64,64,0.02,-51,1.3,,0.8486,0.9160,0.9202,0.9181,,0.8855,0.9357,0.9385,0.9371,,0.8789,0.9363,0.9290,0.9318,,0.8106,0.9316,0.8618,0.8954,0.7810,0.8593,0.8956,0.8770,0.9596,0.9596,1.0000,0.9794,2.35,4.63,6.79,0.9542,4.6142,1.0646,0.9514,0.9073,2.3976,6.6559,0.9649,,./results/res_hfc_64_64_-51_1.3_0.02.log
10,hfc,64,64,0.02,-52,1.31,,0.8515,0.9157,0.9239,0.9198,,0.8875,0.9355,0.9412,0.9384,,0.8818,0.9364,0.9327,0.9339,,0.8198,0.9302,0.8735,0.9010,0.7810,0.8593,0.8956,0.8770,0.9596,0.9596,1.0000,0.9794,2.35,4.63,6.78,0.9544,4.6024,1.0629,0.9515,0.9091,2.3880,6.6395,0.9645,,./results/res_hfc_64_64_-52_1.31_0.02.log
11,hfc,64,64,0.02,-52,1.32,,0.8523,0.9195,0.9209,0.9202,,0.8880,0.9389,0.9384,0.9386,,0.8823,0.9393,0.9302,0.9341,,0.8146,0.9342,0.8642,0.8978,0.7840,0.8630,0.8956,0.8790,0.9637,0.9637,1.0000,0.9815,2.35,4.62,6.78,0.9542,4.5966,1.0648,0.9511,0.9092,2.3811,6.6401,0.9644,,./results/res_hfc_64_64_-52_1.32_0.02.log
12,hfc,64,64,0.02,-52,1.33,,0.8515,0.9201,0.9194,0.9198,,0.8874,0.9393,0.9373,0.9383,,0.8818,0.9396,0.9293,0.9338,,0.8102,0.9338,0.8595,0.8951,0.7840,0.8630,0.8956,0.8790,0.9657,0.9657,1.0000,0.9826,2.35,4.62,6.77,0.9533,4.5967,1.0720,0.9599,0.9125,2.3636,6.6515,0.9669,,./results/res_hfc_64_64_-52_1.33_0.02.log
13,hfc,64,64,0.02,-54,1.32,,0.8490,0.9136,0.9232,0.9184,,0.8859,0.9348,0.9400,0.9374,,0.8798,0.9344,0.9315,0.9325,,0.8172,0.9322,0.8689,0.8994,0.7754,0.8505,0.8978,0.8735,0.9616,0.9616,1.0000,0.9804,2.35,4.62,6.78,0.9543,4.5945,1.0628,0.9501,0.9089,2.3813,6.6323,0.9645,,./results/res_hfc_64_64_-54_1.32_0.02.log
14,hfc,64,64,0.02,-54,1.34,,0.8460,0.9145,0.9187,0.9166,,0.8838,0.9354,0.9368,0.9361,,0.8781,0.9349,0.9289,0.9314,,0.8040,0.9311,0.8548,0.8913,0.7769,0.8523,0.8978,0.8745,0.9637,0.9637,1.0000,0.9815,2.35,4.62,6.77,0.9525,4.5916,1.0645,0.9783,0.9240,2.3706,6.6286,0.9640,,./results/res_hfc_64_64_-54_1.34_0.02.log
